,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,COMPLEX WORD COUNT,AVG NUMBER OF WORDS PER SENTENCE,WORD COUNT,PERSONAL PRONOUNS,AVERAGE WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,33,6,0.692307675,0.063311688,16.34615385,0.120784314,6.586775264,154,16.34615385,552,11,4.453333333
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,57,29,0.325581392,0.099078341,19.83116883,0.233791749,8.025984232,357,19.83116883,791,3,5.320890635
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,38,24,0.225806448,0.091715976,20.01785714,0.318465656,8.134529119,357,20.01785714,620,12,5.86529884
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,37,75,-0.339285711,0.171253822,21.50980392,0.298085688,8.723155844,327,21.50980392,608,5,5.758432088
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,20,8,0.428571413,0.068965517,18.53846154,0.213001383,7.500585169,154,18.53846154,367,6,5.278008299
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,84,25,0.541284399,0.095113438,23.34567901,0.269698572,9.446151034,510,23.34567901,1067,6,5.821258593
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,23,44,-0.313432831,0.125233645,16.55932203,0.220061412,6.711753379,215,16.55932203,483,0,5.038894575
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,29,9,0.526315776,0.073217726,17.17021277,0.34448575,7.005879406,278,17.17021277,483,3,6.043370508
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,38,51,-0.146067414,0.14015748,17.29824561,0.326572008,7.049927049,322,17.29824561,587,3,6.037525355
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,60,68,-0.0625,0.163057325,20.725,0.252714113,8.391085645,419,20.725,711,8,5.075392039
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,60,19,0.518987335,0.093491124,21.71641791,0.29209622,8.803405652,425,21.71641791,787,3,5.597938144
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,75,24,0.51515151,0.106911447,21.92405063,0.266743649,8.876317713,462,21.92405063,847,2,5.416281755
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,38,13,0.490196069,0.166123778,26.5,0.268867925,10.70754717,171,26.5,283,3,5.23427673
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,21,27,-0.124999997,0.079338843,16.70588235,0.20334507,6.763690969,231,16.70588235,540,3,5.030809859
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,34,27,0.114754096,0.087267525,22.03448276,0.240219092,8.90988074,307,22.03448276,645,7,5.315336463
